authors,bestsellers-rank,categories,description,dimension-x,dimension-y,dimension-z,edition,edition-statement,for-ages,format,id,illustrations-note,image-checksum,image-path,image-url,imprint,index-date,isbn10,isbn13,lang,publication-date,publication-place,rating-avg,rating-count,title,url,weight
[1],49848,"[214, 220, 237, 2646, 2647, 2659, 2660, 2679]","SOLDIER FIVE is an elite soldier's explosive memoir of his time within the Special Air Service (SAS) and, in particular, his experiences during the 1991 Gulf War. As a member of the Special Forces patrol now famously known by its call sign Bravo Two Zero, he and seven others were inserted hundreds of kilometres behind enemy lines. Their mission to reconnoitre targets, undertake surveillance of Scud missil sites and sabotage Iraqi communications links was to end in desperate failure.From the outset, the patrol was dogged by problems that contributed both directly and indirectly to the demise of the mission. The patrol's compromise, and subsequent attempts to evade Iraqi troops, resulted in four members of Bravo Two Zero being captured and a further three killed. One escaped. But the story goes further that the Gulf War itself. Despite numerous books, films and articles on the same subject, the British Government has done its utmost to thwart the release of SOLDIER FIVE, at one stage claiming the book in its entirety was confidential. A campaign of harassment that took some four and a half years of litigation to resolve has now resulted in this controversial publication. SOLDIER FIVE is a gripping and suspenseful account of one man's experiences as a Special Forces soldier. Revealing his conflicts and loyalties, and the relationships he forged both on and off the battlefield, this book is the resolution of a soldier's determined fight to see his story told.",129,198,20,,,,1,9.78184E+12,,97c8e71f2ec114b34f243074d2091077,full/c/5/2/c529152ea1246c0cb17d6574d302eae6d2e7fb0a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8401/9781840189070.jpg,Mainstream Publishing,,184018907X,9.78184E+12,en,10/14/2004 0:00,,4.03,292,Soldier Five : The Real Truth About The Bravo Two Zero Mission,/Soldier-Five-Mike-Coburn/9781840189070,224
"[2, 3]",115215,"[235, 3386]","John Moran and Carl Williams were the two biggest rival drug barons in Australia. They certainly weren't partners, but they weren't sworn enemies. One day, they had a meeting to end a dispute over drug money. Thinking he could scare his rival into submission, Moran pulled the trigger on Carl but decided not to finish the job off. It turned out to be the biggest mistake of his life.  Carl was hell bent on revenge. Within months, most of the Moran family and a host of underworld figures would die in an astonishing spate of revenge killings which shook the public and the police to the core. Murder, greed, drugs, sex and corruption abound in a story that reads like a piece of gangster fiction. But in Underbelly, the bullets and the blood are grippingly real.  This is true crime of the highest order - the amazing story of a powerful man who did things his way and eventually orchestrated his own terrible downfall.",127,203.2,25.4,,,,1,9.78184E+12,,1dc4e79575474ac775cdfe9840bdfb94,full/5/9/8/598ae8f736c99bc423352887d406d2b2f9495c2d.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/8445/9781844547371.jpg,,,184454737X,9.78184E+12,en,3/13/2009 0:00,,3.6,335,Underbelly : The Gangland War,/Underbelly-Andrew-Rule/9781844547371,285.76
[4],11732,"[358, 2630, 360, 2632]","Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming. ExceptΒ… she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss herΒ… and more.",150,224,28,New edition,,,1,9.78842E+12,,3be3fd4fb2fceeb1eb58c3e73242ebb9,full/1/a/2/1a24ac04d4e0a01c8bb531481244b5431675b8c4.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9788/4163/9788416327867.jpg,,,8416327866,9.78842E+12,es,4/30/2020 0:00,,3.88,37211,"A Sir Phillip, Con Amor",/Sir-Phillip-Con-Amor-Julia-Quinn/9788416327867,386
"[5, 6, 7, 8]",114379,"[377, 2978, 2980]","The Third Book of General Ignorance  gathers together 180 questions, both new and previously featured on the  BBC TV programme's popular 'General Ignorance' round, and show why,  when it comes to general knowledge, none of us knows anything at all.",153,234,24,,Export - Airside ed,,1,9.78057E+12,,bc593914f06e1021be9977114ea2a28f,full/1/a/f/1af9cad94dfe897b4423993c78b137bee4099bd6.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571308996.jpg,,,571308996,9.78057E+12,en,10/1/2015 0:00,,4.17,384,QI: The Third Book of General Ignorance,/QI-Third-Book-General-Ignorance-John-Lloyd/9780571308996,436
[9],98413,"[2813, 2980]","The Try Guys deliver their first book-an inspirational self-improvement guide that teaches you that the path to success is littered with humiliating detours, embarrassing mistakes, and unexpected failures.",191,240,29,,,,2,9.78001E+12,,39c0422c00be90fb9258dd6df9068b1e,full/e/e/a/eea0ff6b6f1882d1862c711a2008e3c35d3a1c2e.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9780/0083/9780008352516.jpg,HarperCollins Publishers Ltd,,8352518,9.78001E+12,en,6/18/2019 0:00,,3.9,5095,The Hidden Power of F*cking Up,/Hidden-Power-F-cking-Up-Try-Guys/9780008352516,980
"[10, 11]",90674,"[1520, 1532]",When and how did the universe begin? Why are we here? Is the apparent 'grand design' of our universe evidence for a benevolent creator who set things in motion? Or does science offer another explanation?,130,200,13,,,,1,9.78055E+12,35 colour illustrations integrated throughout,bed4d5ee9d3240303ff355e4e383cb47,full/0/a/1/0a1870d010b9ad272d5b20425b56e449eaca0867.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5538/9780553819229.jpg,Bantam Books (Transworld Publishers a division of the Random House Group),,553819224,9.78055E+12,en,3/18/2015 0:00,,4.04,64647,The Grand Design,/Grand-Design-Leonard-Mlodinow/9780553819229,329
"[6, 7, 8]",209150,"[377, 2978, 2980]","Did you know that: cows moo in regional accents; the entire internet weighs less than a grain of sand; the dialling code from Britain to Russia is 007; potatoes have more chromosomes than human beings; the London Underground has made more money from its famous map than it has from running trains; Tintin is called Tantan in Japanese because TinTin is pronounced 'Chin chin' and means penis; the water in the mouth of a blue whale weighs more than its body; Scotland has twice as many pandas as Conservative MPs; Saddam's bunker was designed by the grandson of the woman who built Hitler's bunker; Under the Wildlife and Countryside Act of 1981, it is explicitly illegal in Britain to use a machinegun to kill a hedgehog.",105,170,20,,Main,,1,9.78057E+12,,d04552f52c16c90db5511e4f76e78694,full/7/5/3/753715be3dcda52b44ac9b14bce4a5258ec13e5f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5712/9780571297931.jpg,,,571297935,9.78057E+12,en,5/5/2016 0:00,,3.84,3923,"1,227 QI Facts To Blow Your Socks Off",/1-227-QI-Facts-Blow-Your-Socks-Off-John-Lloyd/9780571297931,164
"[12, 13]",223191,[2980],"We've all had them, those pointless arguments that are seemingly impossible to solve. We've been round in circles trying to work out what came first, the chicken or the egg? Don't get us started on the debate of what we are all here for? And you're bound to have had sleepless nights pondering which ingredient you simply can't do without in a full English Breakfast - sausage or bacon. Well worry no more, here to help you solve some of life's biggest - and most pointless - conundrums are Alexander Armstrong and Richard Osman.",132,198,22,,,,1,9.78144E+12,Integrated black and white illustrations,4be783fe835efc596d95732878612663,full/9/2/a/92a8415be732a03c7e7c2fbe4085edfcec58b34a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4447/9781444762082.jpg,Coronet Books,,1444762087,9.78144E+12,en,5/8/2014 0:00,,3.56,268,The 100 Most Pointless Arguments in the World : A pointless book written by the presenters of the hit BBC 1 TV show,/100-Most-Pointless-Arguments-World-Alexander-Armstrong/9781444762082,248
[14],7004,"[3223, 700, 1521, 2820]","For the millions of Americans who want spirituality without religion, Sam Harris's latest New York Times bestseller is a guide to meditation as a rational practice informed by neuroscience and psychology. From Sam Harris, neuroscientist and author of numerous New York Times bestselling books, Waking Up is for the twenty percent of Americans who follow no religion but who suspect that important truths can be found in the experiences of such figures as Jesus, the Buddha, Lao Tzu, Rumi, and the other saints and sages of history. Throughout this book, Harris argues that there is more to understanding reality than science and secular culture generally allow, and that how we pay attention to the present moment largely determines the quality of our lives. Waking Up is part memoir and part exploration of the scientific underpinnings of spirituality. No other book marries contemplative wisdom and modern science in this way, and no author other than Sam Harris--a scientist, philosopher, and famous skeptic--could write it.",140,213,15,,Reprint,,1,9.78145E+12,,8242901f9c8358e80b64f16a9b76df0b,full/f/4/e/f4e5b422024491be842709726380c7a4c1c64fae.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/4516/9781451636024.jpg,,,1451636024,9.78145E+12,en,6/16/2015 0:00,,3.92,33806,Waking Up : A Guide to Spirituality Without Religion,/Waking-Up-Sam-Harris/9781451636024,181
[15],66137,"[37, 46, 2784, 2942, 2980, 2912, 3385]","Part of the Art of Coloring series, which has sold over 2 million copies across the U.S.",193,272,15.24,,,,1,9.78148E+12,"1 Illustrations, unspecified",9f620cba34acf4ae6c717d0dd62c3aa4,full/8/0/0/800b21ffb4eddce9c7753889798e2affad0e4356.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4847/9781484788899.jpg,,,1484788893,9.78148E+12,en,5/4/2017 0:00,,4.2,5,Art Of Coloring: Muppets,/Art-Coloring-Muppets-Disney-Book-Group/9781484788899,476.27
[16],318003,"[2859, 2980, 2983]","When a young boy goes missing, a small town uncovers a mystery involving secret recipes, supernatural whisking forces and one strange ingredient...",148,198,16,,,,2,9.78141E+12,,870b29e7119cdf80beeb5aa626d019ce,full/3/a/4/3a444f0d8cb2b4ac55938ea31b5f76f151b4b5a3.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409173359.jpg,Trapeze,,1409173356,9.78141E+12,en,10/19/2017 0:00,,3.12,24,Stranger Fillings : Edible recipes to turn your world upside down!,/Stranger-Fillings-Muffin-Brothers/9781409173359,384
[17],76405,"[1532, 1600, 2820]",,151,230,23,,,,1,9.7814E+12,,448dbd5af60b3d681afc1888165dd9ca,full/8/3/9/8398ea46e10276eea120afed50d468472ebfea31.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4019/9781401938697.jpg,,,1401938698,9.7814E+12,,8/26/2015 0:00,,4.14,12083,Biology of Belief: 10th Anniversary Edition,/Biology-Belief-10th-Anniversary-Edition-Bruce-Lipton/9781401938697,405
[18],509443,"[2980, 2452, 2540]","Olivia believes in making every day an adventure, and you can help her with this fun, interactive mini kit featuring a cute magnet of Olivia, along with a full range of magnetic outfits and accessories to mix and match -  now she's ready for anything! Also included is a 16-page full-colour sticker book.",89,91,61,,,8-Jun,1,9.78076E+12,colour illustrations throughout,e6bf28647da12290ba99ce38cd6d3085,full/c/c/6/cc6dffe99fd691e7cc7605392ab0221818520c5d.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7624/9780762451012.jpg,Running Press Miniature Editions,,762451017,9.78076E+12,en,10/1/2013 0:00,,,,Olivia Dress Me Up : A Magnetic Kit,/Olivia-Dress-Me-Up-Running-Press/9780762451012,84
[19],662246,"[146, 3261, 2978, 2980, 2983]","Based on the beloved Radio 4 series, BLEAK EXPECTATIONS recounts the remarkable adventures of young Pip Bin as he tries to make his way in a world made all horrible by the machinations of his cruel guardian, Mr Gently Benevolent.",133,196,27,,UK ed.,,1,9.78147E+12,,5a8a678241506cc85678a5d667047af1,full/3/b/3/3b3edb9069a6519d1b0a149281d0bdc2df3cae2f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4721/9781472112583.jpg,Corsair,,147211258X,9.78147E+12,en,5/15/2014 0:00,,3.75,255,Bleak Expectations,/Bleak-Expectations-Mark-Evans/9781472112583,342
"[20, 21]",12741,"[767, 1349, 1377, 1532, 1602]","What is it like to try to heal the body when the mind is under attack? In this gripping and illuminating book, Dr Allan Ropper reveals the extraordinary stories behind some of the life-altering afflictions that he and his staff are confronted with at the Neurology Unit of Harvard's Brigham and Women's Hospital.",129,198,19,,Main,,1,9.78178E+12,,0e25831c3f853027a553138f749b4458,full/1/a/6/1a62d46d1b40cfd2d125ed7af8ca9e3c4b965918.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7823/9781782395508.jpg,,,1782395504,9.78178E+12,en,1/7/2016 0:00,,4.01,3426,Reaching Down the Rabbit Hole : Extraordinary Journeys into the Human Brain,/Reaching-Down-Rabbit-Hole-Dr-Allan-Ropper/9781782395508,254
"[7, 8]",791174,[2980],"Imagine an incredible edition of Guinness World Records created by Stephen Fry, Alan Davies, Jo Brand, Bill Bailey and other regular guests on the QI show... The QI Annual 2011 features original contributions from stand up comedians and presents a whole heap-full of QI's weird, wonderful and really quite interesting facts.",196,288,8,,Main,,1,9.78057E+12,,723f5d01fcaee0e4014ddfa6bd87f3af,full/1/a/2/1a26ec38dbdffd5d1b8cee402812e045e983cce7.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5713/9780571308835.jpg,,,057130883X,9.78057E+12,en,5/16/2013 0:00,,3.8,61,QI Annual 2011,/QI-Annual-2011-John-Lloyd/9780571308835,367
[22],868418,"[2978, 2980, 3112]","Griff Rhys Jones is searching for that Welsh part of himself that he has felt ever since being forced to sing in the choir in church and pack down for the school first XV, all in suburban Essex. Join Griff on his journey through Snowdonia, Anglesey, the Gower, mid Wales, Brecon, Pembrokeshire, north Wales and Monmouthshire. Packed with all manners of weird, wonderful and enlightening facts, you'll learn as much about Wales as you do Griff. ""I am going out on the road to search for my Celtic roots and explore 'the land of my aunties'. The language, the landscape, rugby, dogs, legends, botany, wildlife, furniture and a bit more on the side: I looked into them all and here are the results..."" But is Griff Rhys Jones Insufficiently Welsh?",140,216,18,,UK ed.,,1,9.78191E+12,illustrations (colour),c26c345172e956206a1646c56096ddc6,full/c/a/3/ca342850607fe272e2f6729e599cca620c85bd37.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/9098/9781909844995.jpg,,,1909844993,9.78191E+12,en,11/1/2014 0:00,,3.46,68,Insufficiently Welsh,/Insufficiently-Welsh-Griff-Rhys-Jones/9781909844995,466
[23],49141,"[1532, 2792]","Few things are as fundamental to human happiness as sex, and few writers are as entertaining about the subject as Mary Roach.",129,198,19,,Main,,1,9.78185E+12,ill,fc7f3cab9b9eb000f2a616a4d3190c76,full/6/1/5/61519a493a106f925fdf6cc27783b92aee2efc42.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/8476/9781847672360.jpg,,,1847672361,9.78185E+12,en,5/7/2009 0:00,,3.84,52318,Bonk : The Curious Coupling Of Sex And Science,/Bonk-Mary-Roach/9781847672360,215
"[24, 25, 26, 27, 28]",1303328,"[146, 3261, 334, 2978, 2980]","Series 5 and 6 of the vintage radio sitcom starring Harry H Corbett and Wilfrid Brambell, adapted from the much-loved TV series.",138,140,23,Unabridged,Unabridged edition,,3,9.78179E+12,,636d000d7db29ab7ee165b09e0238d5d,full/8/7/6/87605734557afb3c1532721de21a82ec35b4ed2b.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7852/9781785296147.jpg,BBC Physical Audio,,1785296140,9.78179E+12,en,11/1/2017 0:00,,5,2,Steptoe & Son: Series 5 & 6 : 15 episodes of the classic BBC radio sitcom,/Steptoe-Son-Series-5-6-Ray-Galton/9781785296147,200
[29],1214577,"[142, 3257, 148, 3263, 334, 355, 2629, 2980, 2983]","Bustling cities, ancient wonders and snow-peaked mountain ranges; the Seven Kingdoms of Westeros are an attractive destination for travellers (there's a reason why so many invaders have crossed the Narrow Sea over the centuries).  This guidebook will escort you through a realm rich in culture, jaw-dropping natural beauty and Lannister gold; helping you to navigate a continent where the landscape shifts almost as often as the balance of political power. Whether you're looking to don your furs and follow in the footsteps of the First Men, spend an evening sharing summerwine (and a lot more besides) in Dorne, or simply root out the best 'Bowl o'Brown' in King's Landing; this travel companion has you covered.  Created with you in mind, this book (based entirely on George R. R Martin's smash hit fantasy series) includes:  'Must See' best sights in the Seven Kingdoms (and beyond).  Practical advice on getting around, where to stay and how to ensure you keep your head attached to your shoulders for the duration of your visit. An amusing and informative look at the history of the region for those wanting to learn more about their surroundings.No spoilers for those who are fans of the HBO show.",129,198,22.86,,,,1,9.78178E+12,,9745d3dc171d939de76fc8c82af8f31f,full/0/5/3/05327566958b0e299eb1675a021157a051427c86.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7841/9781784183721.jpg,,,1784183725,9.78178E+12,en,11/4/2016 0:00,,3.29,56,A Travel Guide to the Seven Kingdoms of Westeros,/Travel-Guide-Seven-Kingdoms-Westeros-Daniel-Bettridge/9781784183721,220
[30],116088,"[1532, 1600]","In 1994 Professor Bryan Sykes, a leading world authority on DNA and human evolution, was called in to examine the frozen remains of a man trapped in glacial ice in northern Italy. News of the discovery of the Ice Man and his age, which was put at over five thousand years old, fascinated the world. But what made the story particularly extraordinary was that Professor Sykes was also able to track down a living generic relative of the Ice Man, a woman living in Britain today.",127,198,23,,Repr.,,1,9.78055E+12,map,c843c9f26fdcaa491d8c0b92e5f4d7ee,full/c/9/3/c934ee8f817b687c33c0a7ad88b7d8196ab6002a.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5521/9780552152181.jpg,Corgi Books,,552152188,9.78055E+12,en,9/1/2004 0:00,,3.99,6413,The Seven Daughters Of Eve,/Seven-Daughters-Eve-Bryan-Sykes/9780552152181,251
"[31, 32]",73224,"[142, 3257, 219, 2980, 3086]",The Sunday Times bestseller,162,240,30,,,,2,9.78179E+12,,25b3f07a8c69c71ef9af6732587fc191,full/7/2/d/72d91f7d576c8c68b1dc024e0eaa75d7b675f131.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7887/9781788701952.jpg,Blink Publishing,,178870195X,9.78179E+12,en,5/30/2019 0:00,,4.08,870,Mortimer & Whitehouse: Gone Fishing,/Mortimer-Whitehouse-Gone-Fishing-Bob-Mortimer/9781788701952,526
[33],2417805,"[334, 2791, 2978, 2980]","First published as Whatever Makes You Happy, the hilarious and moving novel about mothers and their adult sons, now a Netflix original movie starring Felicity Huffman, Angela Bassett and Patricia Arquette which has now been viewed on over 27 million accounts worldwide",129,198,22,,,,1,9.78153E+12,,7aec941d9dc840d310c56310ef320a2d,full/f/0/a/f0aa83a9439cfda569bf3a02bb0c2a288f686a57.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5266/9781526608352.jpg,,,1526608359,9.78153E+12,en,8/8/2019 0:00,,3.31,646,Otherhood,/Otherhood-William-Sutcliffe/9781526608352,214
[34],4804,"[663, 865, 891, 945, 2759, 981, 982, 984, 986, 1530, 1709]","'In this book, Klaus Schwab and the World Economic Forum contribute significantly to one of the most important issues of our time - how to move forward in the Fourth Industrial Revolution' Jack Ma, Executive Chairman, Alibaba Group Holding, People's Republic of China",153,234,14,,,,1,9.78024E+12,,8203956ba0e607541ab6767b17f09b2d,full/3/2/0/3201c0a7e96c8132ed8fe398867e464d5bbb1bd6.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/2413/9780241300756.jpg,Portfolio Penguin,,241300754,9.78024E+12,en,1/5/2017 0:00,,3.68,2935,The Fourth Industrial Revolution,/Fourth-Industrial-Revolution-Klaus-Schwab/9780241300756,256
[35],,"[165, 3280, 218, 219, 2978, 2980]",Mans here to help you help yourself.,126,,198,,,,1,9.78153E+12,,371e6d9350519cde5625ea21fde5ae42,full/d/5/8/d5816e5dbc473c0072e6a4760c4548ea75b412d1.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529106305.jpg,Ebury Press,,1529106303,9.78153E+12,en,4/15/2021 0:00,,,,How to Be Narstie,/How-Be-Narstie-Big-Narstie/9781529106305,368.32
[36],2717966,"[2980, 2983]",Harry Hill's unexpurgated diary of his year promises to do for the celebrity memoir what the Hadron Collider has done for particle acceleration.,136,141,14,Unabridged,Main,,3,9.78057E+12,,7493a7f2ab05a7210d1b52c3a815d036,full/d/9/6/d9687b05dbe7896b224c179475d5c94e16bc491b.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5712/9780571273386.jpg,,,571273386,9.78057E+12,en,11/4/2010 0:00,,3.29,123,Livin' the Dreem : A Year in My Life,/Livin-Dreem-Harry-Hill/9780571273386,149
[37],61950,"[2663, 633, 750, 989, 1530, 1531, 1720]","A fascinating deep dive on innovation from the New York Times bestselling author of How We Got To Now and Unexpected Life The printing press, the pencil, the flush toilet, the battery--these are all great ideas. But where do they come from? What kind of environment breeds them? What sparks the flash of brilliance? How do we generate the breakthrough technologies that push forward our lives, our society, our culture? Steven Johnson's answers are revelatory as he identifies the seven key patterns behind genuine innovation, and traces them across time and disciplines. From Darwin and Freud to the halls of Google and Apple, Johnson investigates the innovation hubs throughout modern time and pulls out the approaches and commonalities that seem to appear at moments of originality.",137,208,25,,Reprint,,1,9.78159E+12,"Illustrations, unspecified",4cad19925ebc24d68717c76b5feeb67a,full/f/0/a/f0abf951957334c545c44013ab9509fe9144cf73.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/mid/9781/5944/9781594485381.jpg,"Riverhead Books,U.S.",,1594485380,9.78159E+12,en,10/4/2011 0:00,,4.03,12379,Where Good Ideas Come from : The Natural History of Innovation,/Where-Good-Ideas-Come-from-Steven-Johnson/9781594485381,340
"[38, 26, 39, 40]",3190426,"[143, 3258, 146, 3261, 334, 2980]","Sixteen TV soundtracks of the award-winning TV show collected together for the first time, starring David Jason as ambitious market trader Del Boy Trotter, and Nicholas Lyndhurst as his younger brother Rodney Trotter.",137,141,34,Unabridged,Unabridged edition,,3,9.78179E+12,,57c56c0294a1231a2abf8948b266aa9b,full/9/f/9/9f92600e3f703d9804d9054000e7c5d734e66910.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/7852/9781785299667.jpg,BBC Physical Audio,,1785299662,9.78179E+12,en,8/28/2018 0:00,,4.5,4,Only Fools and Horses : 16 Classic BBC TV Soundtracks,/Only-Fools-Horses-John-Sullivan/9781785299667,376
[35],,"[165, 3280, 218, 219, 2978, 2980]",This book is for da real Gs and ladies.,144,222,29,,,,2,9.78153E+12,,7e99e8a7e606cb1e719480e7a7794972,full/5/3/4/534ead2a27cbd8f9d4bbd67365680c141eee6882.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/5291/9781529106299.jpg,Ebury Press,,152910629X,9.78153E+12,en,9/1/2020 0:00,,,,How to Be Narstie,/How-Be-Narstie-Big-Narstie/9781529106299,395
[41],33687,"[663, 1532, 1533, 1536, 1699, 3012]",A SUNDAY TIMES BOOK OF THE YEAR,129,198,21,,,,1,9.78014E+12,,a204ee2dcff3130a3327978884c16a2b,full/c/7/2/c72700e3a8b03840b6201c0c832aca41212c59db.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1419/9780141986067.jpg,,,141986069,9.78014E+12,en,7/17/2019 0:00,,4.17,7151,"The Future of Humanity : Terraforming Mars, Interstellar Travel, Immortality, and Our Destiny Beyond",/Future-Humanity-Michio-Kaku/9780141986067,269
[42],252306,"[2978, 2980]","TV Go Home began life in the late 1990s as an outrageously funny website by Charlie Brooker which parodied the Radio Times, and was turned into a book in 2001 when Brooker was still a relative unknown. It was a brutal and surreal satire of the world of TV, media and celebrity, written with Brooker's trademark savage wit. Unavailable for some years, we are republishing it to reach his many thousands of new fans.",190,245,7,,Main,,1,9.78057E+12,"Illustrations (chiefly col.), ports. (chiefly col.)",b1a094d38bc286a1bd66d477844ac1ce,full/b/f/4/bf42e43d187ce7cef02c06d372a1a78d984a47aa.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/5712/9780571272198.jpg,,,571272193,9.78057E+12,en,11/4/2010 0:00,,4.23,315,TV Go Home,/TV-Go-Home-Charlie-Brooker/9780571272198,361
[43],241278,[2980],"In ALAN PARTRIDGE: NOMAD, Alan dons his boots, windcheater and scarf and embarks on an odyssey through a place he once knew - it's called Britain - intent on completing a journey of immense personal significance.",138,138,16,Unabridged,Unabridged edition,,3,9.78141E+12,,43965340dff4d349890ed6ffe5b004c0,full/e/9/0/e902bf11a050ac3bea5d76d93a73b6680cd8a74f.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9781/4091/9781409160236.jpg,Trapeze,,1409160238,9.78141E+12,en,10/20/2016 0:00,,4.13,4708,Alan Partridge: Nomad,/Alan-Partridge-Nomad-Alan-Partridge/9781409160236,157
[44],102349,"[2642, 2661, 664, 955, 2769, 1530]","The beginning of the twenty-first century will be remembered, Friedman argues, not for military conflicts or political events, but for a whole new age of globalization - a 'flattening' of the world. The explosion of advanced technologies now means that suddenly knowledge pools and resources have connected all over the planet, levelling the playing field as never before, so that each of us is potentially an equal - and competitor - of the other. The rules of the game have changed forever - but does this 'death of distance', which requires us all to run faster in order to stay in the same place, mean the world has got too small and too flat too fast for us to adjust? Friedman brilliantly demystifies the exciting, often bewildering, global scene unfolding before our eyes, one which we sense but barely yet understand. The World is Flat is the most timely and essential update on globalization, its successes and its discontents, powerfully illuminated by a world-class writer.",129,198,29,,3 ed,,1,9.78014E+12,,8a70f0710e907d66f6900261877791b3,full/d/1/0/d106e9d085cfbafd8e11aefdad1bda7d3939d678.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/1410/9780141034898.jpg,,,141034890,9.78014E+12,en,7/5/2007 0:00,,3.68,98601,The World is Flat : The Globalized World in the Twenty-first Century,/World-is-Flat-Thomas-L-Friedman/9780141034898,458
"[45, 46]",438805,"[2978, 2980, 2452]","The most popular character (or is that ""characters""?) in ""South Park"" can now be yours! Over the last few years Butters has become a fan favorite and his alter-ego, Professor Chaos, has only increased his popularity. This kit features a spectacular dual-window Mega Mini Kit box, and will release in time for Comedy Central's extensive 15th Anniversary of South Park events in October 2011.The kit includes one Butters figurine and one Professor Chaos figurine, plus a 16-page sticker booklet with eight full-color images of some of the most famous scenes featuring Butters and Professor Chaos.(c)2011 Comedy Partners. All Rights Reserved. SOUTH PARK and all related titles, logos, and characters are trademarks of Comedy Partners.",63,76,50.8,,,,1,9.78076E+12,,59f7c26e41668eb276e21ae2876df7a7,full/4/7/4/47488d2563c7d75e6fcc76d9f9da2f829bf731e4.jpg,https://d1w7fb2mkkr3kw.cloudfront.net/assets/images/book/lrg/9780/7624/9780762442560.jpg,"Running Press,U.S.",,762442565,9.78076E+12,en,9/6/2011 0:00,,5,2,South Park: Butters vs. Professor Chaos,/South-Park-Butters-vs-Professor-Chaos-Matt-Stone/9780762442560,114
